"Whether.","73","2583","41.57","2022-12-30 01:24:55"
"Show to.","143","15824","62.20","2022-12-15 22:45:51"
"Month.","175","13131","5.78","2022-12-23 05:48:48"
"Bag.","181","14658","52.75","2022-12-10 19:07:17"
"Style.","172","11969","29.45","2022-12-13 00:27:23"
"Strategy.","58","15304","60.56","2022-12-15 21:40:42"
"Human.","165","3812","79.92","2022-12-11 09:08:23"
"Example.","6","2660","50.53","2022-12-16 07:56:02"
"Respond.","3","15756","62.20","2022-12-31 15:13:34"
"Accept.","52","7259","6.13","2023-01-01 02:15:22"
"Fill main.","125","13659","52.32","2022-12-18 04:23:49"
"Yard help.","169","16629","34.67","2022-12-12 07:26:08"
"Program.","34","8362","13.54","2022-12-23 16:54:23"
"Bill.","177","10444","47.76","2022-12-12 08:00:44"
"Story.","120","6371","28.19","2022-12-29 15:24:26"
"Front.","114","12315","48.83","2022-12-16 02:53:53"
"Bag.","197","5281","94.87","2022-12-09 17:08:20"
"Teacher.","70","12034","4.88","2023-01-03 04:31:23"
"Mission.","81","14616","35.99","2022-12-16 18:28:06"
"Director.","145","1735","56.30","2022-12-25 18:24:04"
"Interest.","80","2490","72.87","2022-12-12 20:16:26"
"Sell.","58","19853","27.31","2022-12-26 00:41:21"
"Rich.","148","7050","15.35","2022-12-21 21:06:22"
"Hold.","36","14224","12.28","2022-12-15 00:31:09"
"Civil.","150","3124","9.96","2023-01-03 01:32:28"
"Able.","135","7667","77.94","2022-12-27 12:21:13"
"School.","42","9934","82.74","2022-12-17 18:31:01"
"Someone.","51","19619","18.97","2022-12-16 10:06:28"
"Career.","45","306","16.14","2022-12-18 11:12:33"
"Role.","44","19227","57.65","2022-12-18 21:53:04"
"Size.","53","9467","99.52","2022-12-31 09:01:56"
"Study.","110","8066","75.39","2022-12-14 06:15:43"
"Though.","2","19193","49.79","2022-12-09 14:43:36"
"Industry.","35","3249","45.83","2023-01-05 06:32:39"
"Plan.","128","13132","72.32","2022-12-13 14:20:17"
"Friend.","128","5304","74.51","2022-12-11 17:11:40"
"Mean help.","135","10894","86.02","2022-12-18 06:37:18"
"Nearly.","120","11254","53.10","2022-12-11 16:21:26"
"Type.","72","7748","86.24","2022-12-15 01:21:19"
"Seek.","42","13462","65.39","2022-12-18 21:22:14"
"Range.","56","19033","93.54","2022-12-15 02:14:02"
"Health.","44","1417","97.30","2023-01-05 01:43:52"
"Although.","176","3904","19.47","2022-12-10 07:22:02"
"Change.","23","10181","96.99","2022-12-11 19:27:42"
"History.","71","7114","9.71","2022-12-11 07:49:57"
"Identify.","88","12273","30.59","2022-12-11 18:44:04"
"Country.","132","12283","50.72","2022-12-13 17:11:54"
"Operation.","61","3616","45.21","2022-12-20 12:26:07"
"Hundred.","123","15180","77.11","2022-12-16 10:24:16"
"His law.","65","6612","13.00","2022-12-07 02:06:54"
"Culture.","196","17122","1.51","2022-12-21 18:59:36"
"Off.","136","16438","85.03","2022-12-15 18:47:42"
"Bed.","90","12299","91.89","2022-12-10 04:35:32"
"Class Mr.","190","10908","20.45","2022-12-15 20:00:00"
"Own idea.","144","3075","14.63","2023-01-04 03:40:48"
"Person.","73","15995","44.69","2022-12-22 09:16:06"
"Close.","23","10031","3.31","2022-12-27 09:52:32"
"Miss.","116","10393","67.89","2022-12-20 01:26:42"
"Look.","174","1618","60.47","2022-12-22 14:49:12"
"Message.","140","17165","26.65","2022-12-15 02:28:48"
"I eight.","125","412","83.36","2022-12-18 14:07:12"
"Else they.","115","4465","51.35","2022-12-19 22:58:58"
"Return.","163","15630","88.89","2022-12-13 01:34:52"
"Energy.","126","18832","91.99","2022-12-20 15:33:03"
"Meeting.","71","18851","0.30","2023-01-05 01:53:23"
"Surface.","35","11062","29.01","2022-12-25 12:01:25"
"Receive.","156","12167","75.64","2022-12-18 14:02:37"
"Health.","182","182","99.77","2022-12-27 06:14:17"
"Enough.","195","10654","41.59","2022-12-09 10:35:06"
"Just.","106","10661","93.36","2022-12-09 02:02:25"
"These cup.","162","6769","6.90","2022-12-25 19:01:44"
"Amount.","101","14149","40.34","2022-12-13 18:15:39"
"Along.","109","14670","2.14","2022-12-15 13:16:17"
"Dinner.","68","2093","12.21","2022-12-20 23:02:52"
"Create.","133","8520","17.33","2022-12-29 08:05:32"
"Cell.","60","8529","29.63","2023-01-01 12:46:12"
"Above.","82","7504","92.24","2022-12-13 19:44:14"
"It.","2","18676","99.46","2022-12-17 04:21:01"
"Beat bar.","166","18272","31.12","2022-12-28 10:10:41"
"Pass eye.","154","17379","81.79","2022-12-11 00:27:58"
"Behavior.","173","368","68.53","2022-12-10 12:03:05"
"Manage.","105","11250","72.74","2022-12-16 22:12:56"
"Everybody.","188","16779","17.74","2023-01-03 03:23:03"
"Green.","4","15885","14.63","2022-12-10 11:43:50"
"Congress.","164","15778","64.38","2022-12-12 09:30:38"
"Seem.","4","9718","86.16","2023-01-01 05:51:03"
"Maintain.","63","3323","49.12","2022-12-11 10:24:52"
"Difficult.","132","19582","44.09","2022-12-07 22:15:22"
"Edge.","189","1117","3.79","2022-12-25 14:15:07"
"Seek like.","60","2306","79.48","2022-12-25 12:29:41"
"Before.","127","1145","90.24","2022-12-27 14:42:46"
"Happen.","125","2987","86.41","2022-12-10 00:36:24"
"Soldier.","136","9315","58.16","2022-12-31 04:54:44"
"Baby gun.","43","885","75.57","2022-12-21 08:04:28"
"Red cost.","196","19105","51.29","2022-12-20 15:50:10"
"Fact.","91","5635","5.29","2022-12-09 20:23:58"
"Quite.","64","11086","13.59","2022-12-20 15:54:33"
"TV unit.","135","18167","82.93","2023-01-04 17:49:17"
"Suggest.","107","4714","67.56","2022-12-19 13:22:47"
"Trade his.","148","7426","47.27","2022-12-13 20:52:49"
"Store.","60","1612","13.28","2022-12-10 12:12:27"
"Party hot.","41","13016","84.74","2022-12-12 00:25:23"
"Family up.","54","7336","18.26","2022-12-09 02:19:11"
"Page.","92","5544","80.98","2022-12-21 21:52:23"
"Evening.","126","13325","40.07","2023-01-01 17:37:59"
"Score.","108","16045","91.55","2023-01-03 02:02:39"
"Anyone.","92","5501","28.48","2022-12-29 00:52:34"
"Enter.","36","14852","38.87","2022-12-27 11:05:36"
"Against.","13","7512","8.44","2022-12-07 06:51:13"
"Just you.","53","4278","29.68","2022-12-15 14:03:52"
"Wear.","96","16949","62.89","2022-12-14 05:42:30"
"Sound.","8","5488","24.51","2022-12-09 13:35:02"
"Five.","154","9182","94.36","2022-12-29 11:47:43"
"Might PM.","186","3955","5.42","2022-12-25 00:19:09"
"Because.","129","7174","38.04","2022-12-31 22:59:30"
"Whatever.","136","8064","25.01","2022-12-20 10:27:51"
"So.","16","16413","47.07","2022-12-23 17:15:56"
"Direction.","11","12908","75.70","2022-12-23 01:35:45"
"Push hold.","195","1906","37.06","2022-12-16 16:36:34"
"Cold.","146","9401","2.98","2023-01-04 03:36:42"
"Show.","19","18685","58.49","2022-12-08 18:31:34"
"Go.","129","13524","61.33","2022-12-11 16:32:15"
"Stage.","135","16853","39.11","2022-12-13 07:43:28"
"Again.","43","6479","95.43","2022-12-18 03:28:39"
"Box smile.","32","12081","48.31","2022-12-13 14:05:46"
"Fine.","159","13217","83.29","2022-12-28 19:27:21"
"Allow.","102","6289","13.03","2022-12-17 17:19:48"
"Act.","69","13496","53.46","2022-12-24 15:07:51"
"President.","13","3231","75.61","2022-12-26 18:31:38"
"Through.","2","2553","41.93","2023-01-04 14:08:04"
"Then.","92","15621","4.93","2022-12-18 07:55:53"
"Remember.","22","18586","37.88","2022-12-26 20:59:40"
"Have edge.","168","10640","21.00","2022-12-06 22:19:54"
"Else.","14","2238","47.11","2022-12-16 20:15:03"
"But.","91","2441","83.72","2022-12-07 08:21:01"
"Your.","117","10162","14.92","2022-12-17 09:02:04"
"Debate.","36","4757","70.52","2022-12-22 02:10:18"
"American.","24","14749","28.51","2022-12-14 02:21:32"
"Network.","60","19738","23.15","2023-01-05 17:39:55"
"Economy.","108","16417","54.11","2022-12-31 20:39:10"
"Tonight.","27","14992","80.72","2022-12-28 19:19:19"
"Center.","41","3541","56.38","2022-12-15 10:55:40"
"Plan PM.","112","17575","83.98","2022-12-09 13:07:50"
"Play.","41","4094","96.46","2022-12-12 02:34:23"
"Majority.","127","5275","86.51","2022-12-16 07:12:34"
"Whom not.","169","6983","49.49","2022-12-28 12:10:49"
"Message.","34","2461","66.47","2023-01-02 05:10:09"
"Painting.","105","17100","58.90","2022-12-08 03:03:43"
"Note.","128","17483","41.95","2022-12-27 16:43:32"
"Minute.","22","16124","60.66","2022-12-19 15:45:44"
"Guess.","191","11593","28.93","2022-12-16 18:36:18"
"Remember.","17","14049","4.19","2022-12-19 07:54:56"
"War with.","83","2439","70.74","2022-12-06 20:53:33"
"Per never.","135","2630","92.24","2022-12-30 09:27:47"
"Similar.","18","16915","78.92","2022-12-18 21:23:04"
"Wife.","90","2446","62.20","2023-01-04 07:27:56"
"Try bank.","173","8501","15.86","2022-12-12 22:38:42"
"Wonder.","185","15376","32.66","2022-12-25 19:13:21"
"Across.","161","1678","98.76","2022-12-08 00:18:09"
"Write.","165","18272","15.68","2022-12-15 23:04:29"
"Fast will.","35","17293","8.78","2022-12-19 09:58:50"
"A part.","115","7999","76.32","2022-12-09 05:30:46"
"Player.","47","17775","23.40","2022-12-30 16:42:57"
"Rich.","156","3884","28.57","2023-01-05 10:20:58"
"Artist.","55","7156","37.75","2022-12-24 07:14:57"
"Remember.","84","8541","91.69","2022-12-18 20:32:02"
"Social it.","147","17468","7.30","2022-12-13 19:45:15"
"Body.","8","10816","23.32","2022-12-10 08:53:53"
"Happy.","97","5915","58.67","2022-12-24 13:01:18"
"Speech.","175","4254","21.66","2022-12-16 10:59:01"
"Listen.","27","18169","77.06","2022-12-22 06:06:45"
"Approach.","177","17897","71.00","2022-12-24 16:30:54"
"Store.","45","3315","11.89","2022-12-31 14:01:40"
"Listen.","49","14490","88.57","2022-12-16 14:46:09"
"Start.","64","11568","84.01","2022-12-22 23:21:55"
"Spring.","91","6043","90.37","2023-01-04 23:00:42"
"Mean.","119","1568","39.57","2022-12-12 19:36:48"
"Him.","168","11666","74.45","2022-12-29 13:28:42"
"Change.","16","10285","38.22","2022-12-15 15:45:23"
"Common.","143","17319","43.21","2022-12-15 15:48:57"
"Baby.","196","1212","49.93","2022-12-20 10:11:44"
"Bring.","103","1829","11.30","2023-01-01 05:53:06"
"News.","193","7791","88.00","2022-12-15 04:00:51"
"Interview.","73","8685","37.62","2022-12-07 11:06:59"
"Article.","23","15359","68.88","2022-12-11 07:36:51"
"Movie.","9","9517","83.24","2022-12-12 22:31:14"
"Foreign.","57","7854","30.26","2022-12-11 19:42:18"
"Near fine.","120","9696","48.45","2022-12-23 11:46:12"
"Per.","28","18999","24.34","2022-12-14 15:59:58"
"State.","21","4787","55.08","2022-12-07 19:16:10"
"Large.","53","7826","70.83","2022-12-12 16:58:35"
"Sign seem.","6","7971","8.51","2023-01-04 18:12:15"
"Practice.","133","7690","43.34","2022-12-31 05:45:15"
"Pretty.","153","11862","71.48","2022-12-31 06:35:47"
"Little.","84","659","25.16","2022-12-07 23:30:17"
"Remember.","45","1739","97.46","2022-12-20 04:46:06"
"Six full.","38","14165","14.91","2022-12-13 05:49:51"
"Entire.","143","18990","75.77","2022-12-15 14:52:25"
"Leave.","182","4059","57.26","2022-12-30 13:13:43"
"Agency.","190","2287","56.78","2022-12-30 07:39:47"
"Able hope.","6","6779","99.99","2022-12-22 07:19:07"
"Explain.","27","6346","88.65","2022-12-29 00:34:35"
"PM career.","197","9905","3.88","2023-01-01 07:05:49"
"Finish.","187","19952","79.56","2022-12-11 20:04:29"
"Central.","185","4468","89.79","2022-12-21 05:56:46"
"Over age.","161","4017","56.23","2022-12-19 04:07:13"
"Remember.","148","875","37.28","2023-01-04 09:11:03"
"Author.","98","18952","5.58","2022-12-13 21:37:40"
"Your.","127","12525","28.52","2023-01-01 00:12:40"
"Industry.","158","8272","51.33","2022-12-14 04:46:53"
"Together.","122","8615","37.51","2023-01-02 14:45:52"
"Ever.","38","18546","68.48","2022-12-19 02:45:23"
"Design.","175","4073","95.47","2022-12-13 14:45:14"
"Campaign.","190","1345","91.81","2022-12-21 16:27:29"
"Already.","143","19282","49.44","2022-12-11 07:36:29"
"Rich.","129","18743","81.93","2022-12-28 22:39:21"
"History.","32","18278","44.21","2022-12-16 23:06:53"
"Crime.","100","11613","66.72","2023-01-03 15:17:16"
"Attention.","67","16690","18.18","2023-01-01 16:59:56"
"Care.","82","6958","39.79","2022-12-15 09:31:54"
"Instead.","10","7138","29.53","2022-12-31 11:01:18"
"Box kind.","82","6467","88.38","2022-12-12 01:02:52"
"Grow bit.","0","2376","26.44","2022-12-23 01:43:07"
"Partner.","68","2769","51.26","2022-12-11 14:56:02"
"Wind.","105","6036","59.73","2022-12-29 08:37:13"
"Decision.","15","12426","78.20","2022-12-24 12:20:57"
"Energy.","127","7308","73.88","2022-12-30 05:23:54"
"Smile.","127","6666","67.02","2022-12-08 22:37:08"
"Buy he.","98","2048","38.19","2022-12-25 17:15:22"
"Second.","129","1299","65.40","2022-12-29 13:40:46"
"Too total.","49","5341","99.55","2022-12-08 02:16:21"
"Network.","188","17132","71.17","2022-12-24 11:45:24"
"Seem care.","80","17089","40.68","2023-01-05 14:11:16"
"Business.","101","18472","90.01","2022-12-30 15:31:25"
"Life.","196","14576","41.80","2022-12-28 21:51:12"
"Inside.","186","6685","4.24","2023-01-05 07:40:15"
"Whole.","123","19548","38.21","2022-12-31 09:17:08"
"Purpose.","92","13618","96.65","2022-12-20 16:27:53"
"Response.","61","18634","27.35","2022-12-21 08:35:48"
"Arrive.","193","5116","33.39","2022-12-29 09:08:37"
"Her fire.","164","12408","94.03","2022-12-07 09:00:18"
"He.","46","2653","56.79","2022-12-21 20:47:21"
"Off body.","90","10656","60.13","2023-01-05 06:12:30"
"Animal.","21","9127","26.84","2022-12-21 07:50:49"
"Prepare.","137","6264","52.51","2022-12-31 19:20:15"
"Suddenly.","49","8522","9.27","2022-12-11 18:04:33"
"Activity.","92","17872","10.78","2022-12-17 14:38:52"
"Say.","133","3426","79.73","2022-12-27 06:06:00"
"Some.","67","15646","54.74","2023-01-04 22:01:52"
"Also year.","7","18194","6.89","2022-12-17 08:49:19"
"Gas.","14","13254","28.02","2022-12-09 14:33:31"
"Fly.","84","878","63.82","2022-12-15 09:10:31"
"Prove.","145","323","46.40","2022-12-20 07:41:52"
"Onto stay.","96","15181","14.49","2023-01-04 01:03:01"
"Amount.","57","4484","49.73","2022-12-15 19:18:12"
"Prove.","83","439","97.70","2022-12-25 20:50:02"
"Somebody.","185","8459","75.64","2022-12-14 08:20:57"
"Sit care.","10","8805","97.13","2022-12-22 07:55:43"
"New total.","26","5263","77.37","2022-12-09 04:01:37"
"Term tree.","9","19313","59.47","2022-12-29 17:19:14"
"Brother.","50","19415","81.74","2022-12-14 13:32:18"
"Mother.","133","18999","52.68","2022-12-15 13:36:37"
"Present.","79","13276","94.78","2022-12-20 03:19:36"
"Clear.","177","18976","77.00","2022-12-25 08:47:59"
"Memory.","25","7978","24.24","2023-01-03 03:42:11"
"Amount.","155","3873","84.46","2022-12-27 13:22:13"
"She.","184","10031","84.73","2022-12-22 04:15:42"
"Over.","91","2032","29.95","2022-12-25 22:01:18"
"Finish.","13","14176","54.27","2023-01-05 09:59:56"
"Claim.","153","14963","5.29","2022-12-08 17:34:41"
"Peace.","15","17425","2.86","2023-01-03 03:01:04"
"Great.","22","19415","77.12","2023-01-03 08:13:31"
"Tax.","54","15224","75.91","2023-01-02 06:48:42"
"Play.","172","16566","67.31","2022-12-30 23:29:53"
"Kind.","41","4009","32.06","2023-01-02 07:48:54"
"Across.","150","2178","80.00","2022-12-23 18:01:21"
"Look.","9","5682","38.87","2022-12-13 02:03:44"
"Always.","49","14379","60.58","2022-12-10 17:19:47"
"Medical.","132","9676","46.70","2022-12-29 01:57:10"
"Moment.","10","15509","66.18","2022-12-07 05:56:23"
"Somebody.","114","3778","47.37","2023-01-02 02:09:46"
"Reduce.","87","13133","66.67","2022-12-18 12:32:16"
"Ahead.","151","299","45.72","2023-01-05 13:30:57"
"Gun.","3","8110","1.18","2022-12-10 22:37:42"
"Same test.","136","1070","17.95","2022-12-15 02:40:33"
"Fire.","52","17625","79.68","2022-12-30 18:51:27"
"Represent.","23","8905","85.32","2022-12-12 12:28:03"
"Form his.","184","140","27.57","2022-12-21 14:52:56"
"Baby.","132","1948","73.49","2023-01-04 04:54:57"
"Oil.","177","9000","98.45","2022-12-14 07:46:00"
"Company.","68","9019","89.17","2022-12-28 12:04:06"
"Time.","190","11087","12.33","2022-12-24 06:32:24"
"Quite.","100","10316","86.55","2022-12-08 13:39:40"
"Many form.","123","4690","60.27","2022-12-23 08:19:24"
"Long rule.","120","12970","95.51","2023-01-02 21:21:48"
"Suggest.","32","18914","91.11","2022-12-10 19:48:22"
"Skill.","194","2443","18.44","2022-12-07 03:17:30"
"Partner.","155","16924","8.69","2022-12-16 03:58:32"
"Several.","178","10544","15.36","2023-01-01 05:53:17"
"Dog.","170","3904","35.76","2022-12-19 12:23:33"
"Prove.","73","3225","42.49","2023-01-01 18:50:14"
"Light.","102","16223","96.95","2022-12-18 23:38:51"
"Store.","171","1534","35.92","2022-12-10 08:01:34"
"Star.","20","17114","80.14","2022-12-24 21:55:37"
"Store.","132","2507","20.94","2022-12-25 12:06:45"
"But.","88","1778","20.96","2023-01-01 03:31:47"
"Goal.","143","17092","17.07","2023-01-03 16:46:43"
"The car.","51","15847","83.35","2022-12-30 21:46:13"
"Building.","116","8394","51.67","2022-12-12 19:05:31"
"Great.","116","10743","87.70","2022-12-26 06:38:34"
"Will thus.","192","17997","39.82","2022-12-13 00:48:43"
"Power.","168","19494","57.47","2023-01-04 16:03:44"
"Attack.","134","721","45.26","2022-12-31 11:58:16"
"Teach.","115","14640","68.69","2022-12-11 01:26:47"
"Lose list.","150","4538","68.24","2022-12-26 23:37:41"
"Physical.","24","3583","10.40","2022-12-29 01:35:44"
"Just.","19","6320","14.74","2022-12-11 19:28:43"
"Growth.","127","10397","72.63","2022-12-28 09:32:58"
"Both.","177","15987","43.49","2022-12-25 19:49:43"
"Condition.","163","8669","42.67","2022-12-07 17:31:52"
"Prevent.","148","12769","51.41","2023-01-02 23:00:14"
"Gas list.","188","11155","37.03","2022-12-31 00:00:26"
"Eat.","136","19381","43.60","2022-12-06 19:23:49"
"Score.","54","3011","37.32","2022-12-30 15:54:37"
"Month.","32","11232","0.22","2022-12-26 19:33:29"
"Company.","168","1169","33.63","2022-12-28 16:11:39"
"Wrong bad.","177","18338","94.99","2022-12-27 14:32:33"
"Eight.","96","11331","49.65","2023-01-02 21:08:53"
"Theory.","155","914","32.37","2022-12-14 10:57:37"
"Weight.","143","1076","40.22","2022-12-24 19:39:41"
"Remain.","154","19291","96.61","2022-12-10 15:06:06"
"Base.","179","5842","21.21","2022-12-29 02:51:18"
"Station.","48","1174","10.33","2022-12-15 00:43:30"
"Indeed.","61","394","70.39","2023-01-03 15:57:27"
"Baby bank.","176","7259","91.50","2022-12-31 22:09:19"
"Risk room.","43","1961","18.12","2022-12-19 01:33:24"
"Sometimes.","59","5524","0.01","2022-12-11 16:27:10"
"Eight.","11","18333","34.54","2022-12-13 16:23:45"
"Worker.","52","17745","19.26","2022-12-09 17:34:34"
"Indicate.","31","7317","74.40","2022-12-13 23:44:09"
"Fire look.","138","3597","89.87","2022-12-24 17:05:03"
"Or write.","31","167","48.45","2022-12-28 15:55:41"
"Area role.","17","2430","77.71","2022-12-17 06:34:54"
"Place hit.","56","2966","61.58","2022-12-19 02:14:47"
"Score.","92","7540","56.92","2022-12-08 03:36:34"
"Kind.","81","12558","28.82","2022-12-15 03:41:33"
"Herself.","125","13437","22.16","2022-12-23 06:34:04"
"Should.","45","7107","82.21","2022-12-07 03:43:40"
"Friend.","4","5903","16.30","2022-12-10 17:22:18"
"Long.","86","3643","15.11","2022-12-13 06:22:05"
"One.","115","12205","31.84","2022-12-22 19:44:03"
"City.","15","19900","56.53","2022-12-22 19:33:07"
"Others.","40","10223","32.63","2023-01-03 14:50:24"
"Way group.","14","16965","43.66","2023-01-05 13:45:08"
"Huge meet.","128","1106","46.35","2022-12-23 10:02:22"
"Nature it.","33","19099","58.68","2022-12-25 19:21:07"
"Free.","39","6055","64.47","2022-12-25 23:57:43"
"Beyond.","18","14920","79.36","2022-12-15 16:38:52"
"State.","6","14417","7.18","2022-12-11 08:25:34"
"Music.","101","18542","99.13","2022-12-09 04:54:49"
"Story oil.","193","14679","7.07","2022-12-13 17:53:39"
"Dog skin.","180","7738","98.61","2022-12-18 23:54:46"
"Stay.","51","19067","25.47","2022-12-13 17:11:58"
"Too away.","7","2249","6.94","2022-12-22 13:20:18"
"Fund.","3","14132","83.36","2022-12-26 10:53:51"
"Growth.","161","3716","98.76","2022-12-15 14:13:29"
"Price.","93","249","2.68","2023-01-03 00:33:44"
"Shake.","99","2089","85.07","2023-01-04 20:46:40"
"Fact type.","155","12579","71.58","2022-12-14 19:55:05"
"Camera.","143","9252","13.45","2023-01-01 16:39:38"
"Course.","172","16867","60.66","2022-12-10 01:06:07"
"Trouble.","175","5099","61.19","2023-01-01 20:02:46"
"Look.","5","10434","84.01","2022-12-24 06:18:55"
"How.","129","11467","67.36","2023-01-01 10:29:15"
"Care.","110","11149","65.24","2022-12-10 13:45:44"
"Main door.","49","16508","38.82","2023-01-02 13:27:10"
"Interest.","62","2677","24.53","2022-12-07 09:39:48"
"Final.","71","18194","31.32","2022-12-31 07:58:01"
"Person.","39","1802","76.23","2022-12-10 02:01:21"
"Receive.","96","4163","66.01","2022-12-23 11:25:00"
"Audience.","145","3146","91.92","2022-12-08 15:17:30"
"Tree add.","151","4108","27.33","2022-12-22 18:44:30"
"Tree long.","180","950","92.08","2023-01-02 06:07:11"
"Kitchen.","99","2477","11.82","2022-12-26 13:28:49"
"Power.","181","10843","11.30","2022-12-31 02:23:43"
"Different.","16","3217","74.04","2022-12-21 17:49:40"
"Child.","199","11904","14.68","2022-12-18 11:28:24"
"Machine.","115","3406","52.65","2023-01-03 23:56:51"
"Sort.","146","11519","30.04","2022-12-30 22:12:04"
"Imagine.","16","9174","81.44","2022-12-27 07:45:43"
"Put check.","22","14367","31.81","2022-12-28 11:21:19"
"Peace.","67","13634","55.16","2023-01-05 06:28:22"
"Article.","121","734","66.91","2022-12-07 22:57:04"
"Financial.","52","18529","71.08","2022-12-12 09:52:29"
"Too may.","168","14606","44.03","2022-12-16 03:39:49"
"Result.","110","17344","84.89","2022-12-23 08:20:53"
